               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.044544,            0.019148,           0.0059011,             0.63495,             0.49081,              0.5048,             0.20922,            0.060428,            0.024676,            0.013155,           0.0028225,           0.0028225,           0.0028225
                  89,            0.044112,            0.019594,           0.0056886,             0.57128,             0.51856,             0.50609,             0.20836,            0.059309,            0.022641,            0.011979,             0.00274,             0.00274,             0.00274
                  90,            0.043384,            0.019305,           0.0060139,             0.64163,             0.47713,             0.50873,              0.2094,            0.060277,            0.023633,            0.012872,           0.0026575,           0.0026575,           0.0026575
                  91,            0.043673,            0.019728,           0.0057408,             0.62359,             0.49077,             0.51121,             0.20169,            0.059239,            0.022903,            0.012574,            0.002575,            0.002575,            0.002575
                  92,            0.043703,            0.019396,           0.0058116,               0.569,             0.53322,             0.51589,             0.20379,            0.059833,            0.023288,            0.013049,           0.0024925,           0.0024925,           0.0024925
                  93,            0.043431,            0.019133,           0.0056593,              0.6537,             0.46455,             0.50563,             0.21559,            0.060288,            0.023524,            0.012201,             0.00241,             0.00241,             0.00241
                  94,             0.04351,            0.019191,           0.0056555,              0.6031,             0.48714,             0.49943,             0.21028,            0.060015,            0.023271,            0.013342,           0.0023275,           0.0023275,           0.0023275
                  95,            0.043657,             0.01911,           0.0055496,             0.56027,              0.5309,             0.50741,             0.20937,            0.060081,            0.023475,            0.012425,            0.002245,            0.002245,            0.002245
                  96,            0.043475,            0.019247,           0.0053755,             0.60288,             0.48269,             0.50032,             0.20764,            0.060064,            0.023456,            0.012409,           0.0021625,           0.0021625,           0.0021625
                  97,            0.042677,            0.018601,           0.0053517,             0.58667,              0.5176,             0.51151,             0.21566,            0.060481,            0.024317,            0.012601,             0.00208,             0.00208,             0.00208
                  98,             0.04273,            0.018895,           0.0055435,             0.59686,              0.4983,             0.51397,             0.20985,            0.060038,            0.023392,            0.013401,           0.0019975,           0.0019975,           0.0019975
                  99,            0.042284,            0.019264,           0.0053632,              0.5974,             0.50297,             0.51777,             0.21517,            0.060713,            0.023499,            0.013064,            0.001915,            0.001915,            0.001915
                 100,            0.042357,             0.01946,           0.0051716,             0.64096,             0.46513,             0.51108,             0.21568,            0.059741,            0.024312,            0.013565,           0.0018325,           0.0018325,           0.0018325
                 101,            0.042395,            0.018783,           0.0054341,             0.62151,             0.49729,             0.50973,             0.20462,            0.061252,            0.024262,            0.011899,             0.00175,             0.00175,             0.00175
                 102,            0.041773,            0.018683,            0.005303,             0.63173,             0.49062,             0.50926,              0.2126,            0.059972,            0.023606,            0.013081,           0.0016675,           0.0016675,           0.0016675
                 103,            0.042118,            0.019103,           0.0052612,             0.60908,             0.49827,              0.5147,             0.21371,            0.060638,            0.023695,            0.012724,            0.001585,            0.001585,            0.001585
                 104,            0.041637,            0.018836,           0.0050933,             0.56237,             0.50999,             0.50739,             0.21027,            0.060547,            0.023414,            0.012322,           0.0015025,           0.0015025,           0.0015025
                 105,            0.041997,            0.018747,           0.0053376,             0.57479,             0.53148,             0.51303,             0.21878,             0.06105,            0.023541,            0.012269,             0.00142,             0.00142,             0.00142
                 106,            0.041619,            0.018502,            0.005302,             0.63142,             0.48232,             0.51285,             0.21317,            0.061493,            0.023971,            0.012499,           0.0013375,           0.0013375,           0.0013375
                 107,            0.041194,            0.019068,           0.0050763,             0.60329,             0.50306,             0.51015,             0.22054,            0.060785,            0.024011,            0.013427,            0.001255,            0.001255,            0.001255
                 108,            0.041309,            0.018418,           0.0052475,             0.57772,             0.51807,             0.50689,             0.20899,            0.061157,            0.023805,            0.013594,           0.0011725,           0.0011725,           0.0011725
                 109,            0.040972,            0.018235,           0.0053304,             0.59218,             0.51217,             0.51341,             0.21213,            0.061138,            0.023425,            0.013335,             0.00109,             0.00109,             0.00109
                 110,            0.040902,            0.018118,            0.005509,             0.59236,              0.5054,             0.50814,             0.21456,             0.06056,            0.023634,            0.012463,           0.0010075,           0.0010075,           0.0010075
                 111,            0.040854,            0.018497,           0.0048596,             0.63928,             0.47413,             0.51209,             0.21148,            0.060672,            0.023546,            0.013606,            0.000925,            0.000925,            0.000925
                 112,            0.040647,            0.018399,            0.004905,             0.59169,             0.53806,             0.51627,             0.21667,            0.060752,            0.023965,            0.013472,           0.0008425,           0.0008425,           0.0008425
                 113,            0.040773,            0.018238,           0.0051911,              0.6233,             0.49423,             0.51143,             0.21393,            0.060725,            0.024082,            0.013037,             0.00076,             0.00076,             0.00076
                 114,            0.040333,            0.018232,           0.0052617,             0.60064,             0.50197,             0.52113,             0.22007,            0.060513,            0.024159,            0.013206,           0.0006775,           0.0006775,           0.0006775
                 115,            0.040456,            0.018657,           0.0051484,              0.5986,             0.51189,             0.51399,             0.21816,            0.060245,            0.024354,            0.013351,            0.000595,            0.000595,            0.000595
                 116,            0.039871,            0.018104,           0.0047808,             0.61002,             0.52355,             0.52043,             0.22293,            0.060558,            0.024223,            0.013395,           0.0005125,           0.0005125,           0.0005125
                 117,            0.040569,            0.018294,            0.005047,             0.64196,             0.48777,             0.51987,             0.21961,             0.06038,            0.024158,            0.013373,             0.00043,             0.00043,             0.00043
                 118,            0.040248,            0.017757,           0.0047314,              0.6027,             0.51546,             0.51574,             0.21942,            0.060668,            0.024187,            0.013647,           0.0003475,           0.0003475,           0.0003475
                 119,             0.03957,            0.017641,           0.0050473,             0.61589,             0.51488,             0.52312,             0.22133,            0.060392,            0.024185,            0.013345,            0.000265,            0.000265,            0.000265
